Border,Dublin,Mid-East,Mid-West,Midland,South-East,South-West,Total,West
407.3,1058.3,347.4,317.1,205.5,391.5,546.6,3626.1,352.4
408.2,1072.2,361.2,317.8,208.5,393.3,549.1,3664.3,354.0
410.6,1081.4,369.7,322.0,211.0,398.7,553.8,3703.1,355.8
414.8,1086.1,379.3,326.1,213.8,404.5,560.3,3741.6,356.8
420.5,1097.3,388.9,330.1,216.4,408.6,565.1,3789.5,362.6
425.0,1108.2,401.2,335.3,220.5,416.5,572.2,3847.2,368.6
432.5,1122.8,412.6,339.6,225.4,423.6,580.4,3917.2,380.3
439.6,1133.2,426.5,342.4,230.4,430.4,588.4,3979.9,389.1
449.8,1144.8,440.0,345.6,236.4,438.0,596.4,4045.2,394.1
457.5,1160.6,456.9,353.1,241.9,449.0,609.2,4133.8,405.6
469.8,1183.4,478.5,358.3,252.0,461.5,618.7,4232.9,410.7
483.9,1231.2,496.0,366.4,262.3,475.2,637.6,4375.8,423.2
496.5,1252.7,513.4,375.7,270.9,489.6,655.2,4485.1,431.1
508.2,1258.5,520.8,376.9,275.4,495.3,660.3,4533.4,438.1
511.5,1259.6,528.4,378.6,279.5,498.0,660.8,4554.8,438.4
515.5,1261.5,533.8,377.8,283.8,499.3,662.3,4574.9,440.8
515.8,1260.6,541.0,381.5,287.2,500.7,667.4,4585.4,439.4
517.3,1265.9,542.3,381.4,289.3,503.0,673.8,4614.7,441.7
516.4,1286.4,546.9,382.5,289.8,502.7,679.5,4645.4,441.1
517.6,1315.3,553.7,383.9,291.1,505.1,678.9,4687.8,442.2
522.3,1335.9,561.9,383.8,293.4,509.9,685.0,4739.6,447.5
528.1,1350.0,571.1,387.4,297.1,515.3,691.4,4792.5,452.1
